Url,Name,ImageUrl,Price,ListPrice,CustomerReviews,ProductRatings,Offers
https://www.flipkart.com/realme-6-comet-white-64-gb/p/itma64226eb3e2d2?pid=MOBFTAZ5DSJYBFWU&lid=LSTMOBFTAZ5DSJYBFWUU4QTWC&marketplace=FLIPKART&srno=s_1_10&otracker=search&otracker1=search&fm=SEARCH&iid=040f5397-7704-4cb8-8e9f-2add22213fe9.MOBFTAZ5DSJYBFWU.SEARCH&ppt=sp&ppn=sp&ssid=kw17zye54g0000001608811178164&qH=eb4af0bf07c16429,"Realme 6 (Comet White, 64 GB)",https://rukminim1.flixcart.com/image/312/312/kc3p30w0/mobile/f/w/u/realme-6-rmx2001-original-imaftazphzthcbse.jpeg?q=70,"₹14,999","₹17,999"," 12,930 Reviews",4.4,16% off

https://www.flipkart.com/realme-narzo-20a-victory-blue-64-gb/p/itmca0d14f41a891?pid=MOBFVEATJNCZG2QD&lid=LSTMOBFVEATJNCZG2QDWGMH1X&marketplace=FLIPKART&srno=s_1_11&otracker=search&otracker1=search&fm=SEARCH&iid=040f5397-7704-4cb8-8e9f-2add22213fe9.MOBFVEATJNCZG2QD.SEARCH&ppt=sp&ppn=sp&ssid=kw17zye54g0000001608811178164&qH=eb4af0bf07c16429,"Realme Narzo 20A (Victory Blue, 64 GB)",https://rukminim1.flixcart.com/image/312/312/kfbfr0w0/mobile/7/q/z/realme-narzo-20a-rmx2050-original-imafvswtu6wjavce.jpeg?q=70,"₹9,499","₹11,999"," 5,275 Reviews",4.4,20% off

https://www.flipkart.com/poco-c3-lime-green-64-gb/p/itmac54a16ec8185?pid=MOBFVQJ5Z4QJNZFQ&lid=LSTMOBFVQJ5Z4QJNZFQ1KNFAC&marketplace=FLIPKART&srno=s_1_12&otracker=search&otracker1=search&fm=SEARCH&iid=040f5397-7704-4cb8-8e9f-2add22213fe9.MOBFVQJ5Z4QJNZFQ.SEARCH&ppt=sp&ppn=sp&ssid=kw17zye54g0000001608811178164&qH=eb4af0bf07c16429,"POCO C3 (Lime Green, 64 GB)",https://rukminim1.flixcart.com/image/312/312/kfvfwy80/mobile/z/f/q/poco-c3-mzb07rlin-original-imafw8qzjeyyh44a.jpeg?q=70,"₹8,999","₹10,999"," 3,001 Reviews",4.3,18% off

https://www.flipkart.com/realme-c15-qualcomm-power-silver-32-gb/p/itm3a3eb609eddb6?pid=MOBFWQC2FT3EZ2RJ&lid=LSTMOBFWQC2FT3EZ2RJLVX0MG&marketplace=FLIPKART&srno=s_1_13&otracker=search&otracker1=search&fm=SEARCH&iid=040f5397-7704-4cb8-8e9f-2add22213fe9.MOBFWQC2FT3EZ2RJ.SEARCH&ppt=sp&ppn=sp&ssid=kw17zye54g0000001608811178164&qH=eb4af0bf07c16429,"Realme C15 Qualcomm Edition (Power Silver, 32 GB)",https://rukminim1.flixcart.com/image/312/312/kdxfc7k0/mobile/g/f/x/realme-c15-rmx2180-original-imafupu9tedry97z.jpeg?q=70,"₹9,999","₹11,999", 4 Reviews,4.3,16% off

https://www.flipkart.com/realme-c15-qualcomm-power-blue-32-gb/p/itm3a3eb609eddb6?pid=MOBFWQC2JGUYRGST&lid=LSTMOBFWQC2JGUYRGSTBAMSOM&marketplace=FLIPKART&srno=s_1_14&otracker=search&otracker1=search&fm=SEARCH&iid=040f5397-7704-4cb8-8e9f-2add22213fe9.MOBFWQC2JGUYRGST.SEARCH&ppt=sp&ppn=sp&ssid=kw17zye54g0000001608811178164&qH=eb4af0bf07c16429,"Realme C15 Qualcomm Edition (Power Blue, 32 GB)",https://rukminim1.flixcart.com/image/312/312/kdxfc7k0/mobile/j/6/2/realme-c15-rmx2180-original-imafupu9wutkbf2k.jpeg?q=70,"₹9,999","₹11,999", 4 Reviews,4.3,16% off

https://www.flipkart.com/realme-c15-qualcomm-power-blue-64-gb/p/itm3a3eb609eddb6?pid=MOBFWQC2HVPT6WYX&lid=LSTMOBFWQC2HVPT6WYXQPAPKD&marketplace=FLIPKART&srno=s_1_15&otracker=search&otracker1=search&fm=SEARCH&iid=040f5397-7704-4cb8-8e9f-2add22213fe9.MOBFWQC2HVPT6WYX.SEARCH&ppt=sp&ppn=sp&ssid=kw17zye54g0000001608811178164&qH=eb4af0bf07c16429,"Realme C15 Qualcomm Edition (Power Blue, 64 GB)",https://rukminim1.flixcart.com/image/312/312/kdxfc7k0/mobile/j/6/2/realme-c15-rmx2180-original-imafupu9wutkbf2k.jpeg?q=70,"₹10,999","₹12,999"," 1,620 Reviews",4.3,15% off

https://www.flipkart.com/realme-c15-qualcomm-power-silver-64-gb/p/itm3a3eb609eddb6?pid=MOBFWQC2XF9NZVRA&lid=LSTMOBFWQC2XF9NZVRANZTG1U&marketplace=FLIPKART&srno=s_1_16&otracker=search&otracker1=search&fm=SEARCH&iid=040f5397-7704-4cb8-8e9f-2add22213fe9.MOBFWQC2XF9NZVRA.SEARCH&ppt=sp&ppn=sp&ssid=kw17zye54g0000001608811178164&qH=eb4af0bf07c16429,"Realme C15 Qualcomm Edition (Power Silver, 64 GB)",https://rukminim1.flixcart.com/image/312/312/kdxfc7k0/mobile/g/f/x/realme-c15-rmx2180-original-imafupu9tedry97z.jpeg?q=70,"₹10,999","₹12,999"," 1,620 Reviews",4.3,15% off

https://www.flipkart.com/redmi-9i-sea-blue-64-gb/p/itm2d2ba7f6cbf65?pid=MOBFV8RYTHGA8BY9&lid=LSTMOBFV8RYTHGA8BY9CFBI22&marketplace=FLIPKART&srno=s_1_17&otracker=search&otracker1=search&fm=SEARCH&iid=040f5397-7704-4cb8-8e9f-2add22213fe9.MOBFV8RYTHGA8BY9.SEARCH&ppt=sp&ppn=sp&ssid=kw17zye54g0000001608811178164&qH=eb4af0bf07c16429,"Redmi 9i (Sea Blue, 64 GB)",https://rukminim1.flixcart.com/image/312/312/kesv0y80/mobile/b/y/9/redmi-9i-mzb0815in-original-imafvehwghyuphbc.jpeg?q=70,"₹8,299","₹9,999"," 7,548 Reviews",4.3,17% off

https://www.flipkart.com/realme-narzo-20-victory-blue-128-gb/p/itm4ac58d879006d?pid=MOBFVEATJGZZNHHA&lid=LSTMOBFVEATJGZZNHHA9GORPG&marketplace=FLIPKART&srno=s_1_18&otracker=search&otracker1=search&fm=SEARCH&iid=040f5397-7704-4cb8-8e9f-2add22213fe9.MOBFVEATJGZZNHHA.SEARCH&ppt=sp&ppn=sp&ssid=kw17zye54g0000001608811178164&qH=eb4af0bf07c16429,"Realme Narzo 20 (Victory Blue, 128 GB)",https://rukminim1.flixcart.com/image/312/312/kfbfr0w0/mobile/s/t/p/realme-narzo-20-rmx2193-original-imafvsw7vfqzh6wr.jpeg?q=70,"₹11,499","₹13,999"," 16,875 Reviews",4.3,17% off

https://www.flipkart.com/realme-narzo-20-victory-blue-64-gb/p/itm4ac58d879006d?pid=MOBFVEATNT2HYSTP&lid=LSTMOBFVEATNT2HYSTPPICDR0&marketplace=FLIPKART&srno=s_1_19&otracker=search&otracker1=search&fm=SEARCH&iid=040f5397-7704-4cb8-8e9f-2add22213fe9.MOBFVEATNT2HYSTP.SEARCH&ppt=sp&ppn=sp&ssid=kw17zye54g0000001608811178164&qH=eb4af0bf07c16429,"Realme Narzo 20 (Victory Blue, 64 GB)",https://rukminim1.flixcart.com/image/312/312/kfbfr0w0/mobile/s/t/p/realme-narzo-20-rmx2193-original-imafvsw7vfqzh6wr.jpeg?q=70,"₹10,499","₹12,999"," 16,875 Reviews",4.3,19% off

https://www.flipkart.com/realme-narzo-20-glory-silver-64-gb/p/itm4ac58d879006d?pid=MOBFVEATBBRGJBKH&lid=LSTMOBFVEATBBRGJBKHO9FHOE&marketplace=FLIPKART&srno=s_1_20&otracker=search&otracker1=search&fm=SEARCH&iid=040f5397-7704-4cb8-8e9f-2add22213fe9.MOBFVEATBBRGJBKH.SEARCH&ppt=sp&ppn=sp&ssid=kw17zye54g0000001608811178164&qH=eb4af0bf07c16429,"Realme Narzo 20 (Glory Silver, 64 GB)",https://rukminim1.flixcart.com/image/312/312/kfbfr0w0/mobile/b/k/h/realme-narzo-20-rmx2193-original-imafvswety9jxxsg.jpeg?q=70,"₹10,499","₹12,999"," 16,875 Reviews",4.3,19% off

https://www.flipkart.com/poco-m2-pro-out-blue-64-gb/p/itmca92df4f824d5?pid=MOBFT7MKV4EZTNRS&lid=LSTMOBFT7MKV4EZTNRSZ0PYA3&marketplace=FLIPKART&srno=s_1_21&otracker=search&otracker1=search&fm=SEARCH&iid=040f5397-7704-4cb8-8e9f-2add22213fe9.MOBFT7MKV4EZTNRS.SEARCH&ppt=sp&ppn=sp&ssid=kw17zye54g0000001608811178164&qH=eb4af0bf07c16429,"POCO M2 Pro (Out of the Blue, 64 GB)",https://rukminim1.flixcart.com/image/312/312/kcauaa80/mobile/b/b/u/poco-m2-pro-mzb9628in-original-imaftg8dbxfqhddh.jpeg?q=70,"₹14,999","₹17,999"," 18,961 Reviews",4.4,16% off

https://www.flipkart.com/poco-m2-brick-red-64-gb/p/itmcffd4eceea723?pid=MOBFV9V9H3BBYAKQ&lid=LSTMOBFV9V9H3BBYAKQVJPBOI&marketplace=FLIPKART&srno=s_1_22&otracker=search&otracker1=search&fm=SEARCH&iid=040f5397-7704-4cb8-8e9f-2add22213fe9.MOBFV9V9H3BBYAKQ.SEARCH&ppt=sp&ppn=sp&ssid=kw17zye54g0000001608811178164&qH=eb4af0bf07c16429,"POCO M2 (Brick Red, 64 GB)",https://rukminim1.flixcart.com/image/312/312/kerfl3k0/mobile/a/k/q/poco-m2-mzb9921in-original-imafvdpvfhdbgqhg.jpeg?q=70,"₹10,999","₹12,999"," 16,266 Reviews",4.3,15% off

https://www.flipkart.com/motorola-one-fusion-twilight-blue-128-gb/p/itm9c0e4b9b56acd?pid=MOBFRFXHZRMXDDNZ&lid=LSTMOBFRFXHZRMXDDNZW6P8X2&marketplace=FLIPKART&srno=s_1_23&otracker=search&otracker1=search&fm=SEARCH&iid=040f5397-7704-4cb8-8e9f-2add22213fe9.MOBFRFXHZRMXDDNZ.SEARCH&ppt=sp&ppn=sp&ssid=kw17zye54g0000001608811178164&qH=eb4af0bf07c16429,"Motorola One Fusion+ (Twilight Blue, 128 GB)",https://rukminim1.flixcart.com/image/312/312/kb6tyfk0/mobile/d/n/z/motorola-one-fusion-pakf0002in-original-imafsh2zf4y3kayz.jpeg?q=70,"₹17,499","₹19,999"," 9,167 Reviews",4.4,12% off

